DOC_CD,DOC_DEPT_CD,DOC_ID,DOC_VERS_NO,DOC_DSCR,CONTRACT_SYNOPSIS,CONTRACT_CONTACT_NM,CONTRACT_CONTACT_VOICE_PH_NO,CONTRACT_CONTACT_EMAIL_AD,MA_PRCH_LMT_AM,MA_ITD_ORD_AM,MA_DO_RFED_AM,EFBGN_DT,EFEND_DT,GNRC_PO_RPT_1,RPT_DSCR,BRD_AWD_DT,BRD_AWD_NO,CAT_DSCR,DOC_VEND_LN_NO,VEND_CUST_CD,LGL_NM,ALIAS_NM,SO_DOC_CD,SO_DOC_DEPT_CD,SO_DOC_ID,TODAY,ROW_KEY
MA,6100,CA200000021,7,2020 JOB ORDER CONTRACTING FOR CITY FACILITY IMPROVEMENTS,,Capital Contracting Office,unknown,unknown,48000000,16178004.8,9830471.76,01/05/2021,01/04/2024,15,Alt Proc Method (252),,4,Other Contracting,3,VS0000020698,ALPHA BUILDING CORPORATION,N/A,CSP,6100,CLMB333,12/09/2024,MA6100CA2000000217VS0000020698
MA,6100,CA210000002,6,CORRIDOR MOBILITY PROGRAM TRAFFIC SIGNAL IMPROVEMENTS IDIQ,,Capital Contracting Office,unknown,unknown,20000000,11693404.65,5395708.67,05/19/2022,03/26/2024,10,Competitive Acquisition,09/19/0020,56,Construction,1,MAS7127360,MASTEC NORTH AMERICA INC,MASTEC NORTH AMERICA INC,IFB,6100,CLMC801,12/09/2024,MA6100CA2100000026MAS7127360
MA,6100,CA210000006,5,STREET REHABILITATION PHASE 2 IDIQ PROJECT NO. 2,,Capital Contracting Office,unknown,unknown,6000000,5619373.81,5199944.18,03/24/2022,02/20/2024,10,Competitive Acquisition,03/06/0021,15,Construction,1,V00000900503,ALPHA PAVING INDUSTRIES LLC,N/A,IFB,6100,CLMC823,12/09/2024,MA6100CA2100000065V00000900503
MA,6100,CA220000002,3,UNDERGROUND ELECTRICAL CIVIL CONSTRUCTION,,Capital Contracting Office,unknown,unknown,36000000,30723621.74,29833238.09,12/13/2021,06/25/2024,15,Alt Proc Method (252),11/20/0021,17,Other Contracting,1,MAS7127360,MASTEC NORTH AMERICA INC,MASTEC NORTH AMERICA INC,CSP,6100,CLMB338,12/09/2024,MA6100CA2200000023MAS7127360
MA,6100,SA220000001,1,WALNUT CREEK TRAIL - IH35 TO SOUTHERN WALNUT CREEK TRAIL,,Capital Contracting Office,unknown,unknown,5000000,4386932.29,1929201.61,04/09/2022,04/10/2028,55,Pers / Prof / Plan Svcs (252),10/02/0021,12,Sole and Single Source,1,HAL7038625,HALFF ASSOCIATES INC,HALFF,RFQS,6100,CLMP319,12/09/2024,MA6100SA2200000011HAL7038625
MA,8500,NA190000151,6,WOODEN FURNITURE REFINISHING,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,139375,42143.24,42143.24,06/04/2019,06/03/2024,10,Competitive Acquisition,06/06/0019,ADMIN,Non-Professional Services,1,V00000958329,AMANDA LEEANN BROWN,SPRUCE,IFB,8500,DCM1005,12/09/2024,MA8500NA1900001516V00000958329
MA,8500,NA190000151,6,WOODEN FURNITURE REFINISHING,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,139375,42143.24,42143.24,06/04/2019,06/03/2024,10,Competitive Acquisition,06/06/0019,ADMIN,Non-Professional Services,2,V00000980171,SPRUCE AUSTIN LLC,N/A,IFB,8500,DCM1005,12/09/2024,MA8500NA1900001516V00000980171
MA,8600,NA200000205,28,ONSITE MOBILE CONTAINERS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1583000,785052.04,481966.71,09/30/2020,09/29/2024,10,Competitive Acquisition,09/05/0020,13,Non-Professional Services,1,V00000904713,"MOBILE MINI, INC",MOBILE STORAGE SOLUTIONS,IFB,8600,SBR1005REBID,12/09/2024,MA8600NA20000020528V00000904713
MA,8700,GA210000003,7,FORENSICS AND CHEMISTRY SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,714000,125702.82,91096.65,05/18/2021,05/17/2024,10,Competitive Acquisition,02/06/0021,46,Commodities (Goods),3,FOX7092765,FOX SCIENTIFIC INC,N/A,IFB,8700,BRS1015,12/09/2024,MA8700GA2100000037FOX7092765
MA,8700,GA210000003,7,FORENSICS AND CHEMISTRY SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,714000,125702.82,91096.65,05/18/2021,05/17/2024,10,Competitive Acquisition,02/06/0021,46,Commodities (Goods),1,VWR5019500,VWR INTERNATIONAL LLC,VWR INTERNATIONAL,IFB,8700,BRS1015,12/09/2024,MA8700GA2100000037VWR5019500
MA,8700,GA230000065,2,"HOT WEATHER SHIRT, LONG SLEEVE AND SHORT SLEEVE",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,11537.5,0,0,07/17/2023,07/16/2028,10,Competitive Acquisition,,ADMIN,Commodities (Goods),1,V00000939112,SEATTLE SEWING SOLUTIONS INC.,SOUND UNIFORM SOLUTIONS/BRATWEAR,IFB,8700,MLJ1010,12/09/2024,MA8700GA2300000652V00000939112
CT,6100,23013000192,1,WM CANNON DR CORRIDOR - RUNNING WATER DR - MCKINNEY FALLS PW,,Contract and Land Management Department,unknown,unknown,21366910,21366910,4512923.06,08/22/2023,,10,Competitive Acquisition,12/10/0022,32,Construction,1,V00000973984,"POSILLICO CIVIL, INC",N/A,IFB,6100,CLMC922,12/09/2024,CT6100230130001921V00000973984
CT,6100,23020600204,2,ONION CREEK ODOR CONTROL FACILITY STREAM BANK STABILIZATION,,Contract and Land Management Department,unknown,unknown,390000,390000,0,02/06/2023,,10,Competitive Acquisition,01/28/0023,6,Commodities (Goods),1,VS0000004461,"FORSYTHE BROTHERS INFRASTRUCTURE, LLC.",N/A,IFB,6100,CLMC906,12/09/2024,CT6100230206002042VS0000004461
CT,6100,23022400240,2,STASSNEY LN AT CONGRESS AVE INTERSECTION,,Contract and Land Management Department,unknown,unknown,3371538.07,3371538.07,853372.51,07/31/2023,,10,Competitive Acquisition,02/11/0023,9,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC921,12/09/2024,CT6100230224002402AUS8321418
CT,6100,23030300260,3,OLTORF STREET RECLAIMED WATER MAIN PHASE 1,,Contract and Land Management Department,unknown,unknown,6639466.25,6639466.25,2557885.26,09/15/2023,,10,Competitive Acquisition,01/25/0023,20,Construction,1,CAS7125840,CASH CONSTRUCTION CO INC,N/A,IFB,6100,CLMC939,12/09/2024,CT6100230303002603CAS7125840
MA,4400,NA240000017,1,EQUITABLE COMMUNITY ENGAGEMENT ACTIVITIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,60000,0,0,10/31/2023,10/30/2024,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000964002,VALARIE LASONYA WIMES,SOCIALLY IMMERSED LLC,RFP,4400,BJT3011,12/09/2024,MA4400NA2400000171V00000964002
MA,4400,PA240000003,2,RECRUITMENT FOR CITY MANAGER,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,150000,150000,22500,10/20/2023,10/19/2024,10,Competitive Acquisition,10/21/0023,76,Professional Services,1,V00000981790,MOSAIC PUBLIC PARTNERS LLC,N/A,RFQS,4400,CTE4010,12/09/2024,MA4400PA2400000032V00000981790
MA,4600,NA200000173,2,SPANISH INTERPRETATION SERVICES FOR MUNICIPAL COURT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,3066272,1985232.45,1788054.67,09/04/2020,09/03/2024,10,Competitive Acquisition,09/05/0020,17,Non-Professional Services,1,SIL7037360,SILVIA B KENIG INC,N/A,RFP,4600,LNH3020,12/09/2024,MA4600NA2000001732SIL7037360
MA,5000,GA230000044,1,SODIUM HYPOCHLORITE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,12400000,1783017.64,1324372.58,03/29/2023,03/27/2028,10,Competitive Acquisition,03/25/0023,15,Commodities (Goods),2,DPC6018425,"DPC INDUSTRIES, INC",N/A,IFB,5000,AMA1081,12/09/2024,MA5000GA2300000441DPC6018425
MA,5000,GA230000044,1,SODIUM HYPOCHLORITE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,12400000,1783017.64,1324372.58,03/29/2023,03/27/2028,10,Competitive Acquisition,03/25/0023,15,Commodities (Goods),1,V00000942878,"PVS MINIBULK, INC.",N/A,IFB,5000,AMA1081,12/09/2024,MA5000GA2300000441V00000942878
MA,5000,GA230000059,1,TYPE 1L HYDRAULIC CEMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,3200000,231460.2,87160.77,08/03/2023,08/02/2028,10,Competitive Acquisition,07/22/0023,36,Commodities (Goods),1,CAP7072050,CAPITOL AGGREGATES INC,N/A,IFB,6200,AMA1084,12/09/2024,MA5000GA2300000591CAP7072050
MA,5000,GA230000077,1,"MASONRY, GRAVEL AND CONCRETE SUPPLIES",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,735000,0,0,10/03/2023,10/02/2028,10,Competitive Acquisition,09/23/0023,36,Commodities (Goods),1,V00000980443,FORWAWTEH I KALLOH,GREENVILLE ENTERPRISES LLC,IFB,5000,MDD1001,12/09/2024,MA5000GA2300000771V00000980443
MA,5000,GA240000006,1,JANITORIAL SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,13600000,0,0,11/21/2023,11/20/2028,10,Competitive Acquisition,11/04/0023,12,Commodities (Goods),2,USA7060185,HD SUPPLY FACILITIES MAINTENANCE LTD,USABLUEBOOK OR THE HOME DEPOT PRO,IFB,5000,BYS1022,12/09/2024,MA5000GA2400000061USA7060185
MA,5000,GA240000006,1,JANITORIAL SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,13600000,0,0,11/21/2023,11/20/2028,10,Competitive Acquisition,11/04/0023,12,Commodities (Goods),3,V00000928175,SAFEWAY SUPPLY INC,N/A,IFB,5000,BYS1022,12/09/2024,MA5000GA2400000061V00000928175
MA,5000,GA240000006,1,JANITORIAL SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,13600000,0,0,11/21/2023,11/20/2028,10,Competitive Acquisition,11/04/0023,12,Commodities (Goods),1,V00000964029,"FERGUSON US HOLDINGS, INC","FERGUSON ENTERPRISES, LLC",IFB,5000,BYS1022,12/09/2024,MA5000GA2400000061V00000964029
MA,5000,NA210000027,11,CITYWIDE CLEANING AND DISINFECTING SERVICES (COVID),,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,7250000,822083.84,505010.4,01/14/2021,01/13/2024,10,Competitive Acquisition,12/05/0020,33,Non-Professional Services,4,V00000915343,MAJESTIC SERVICES INC,N/A,IFB,7500,CRR1011,12/09/2024,MA5000NA21000002711V00000915343
MA,5000,NA210000027,11,CITYWIDE CLEANING AND DISINFECTING SERVICES (COVID),,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,7250000,822083.84,505010.4,01/14/2021,01/13/2024,10,Competitive Acquisition,12/05/0020,33,Non-Professional Services,1,V00000966565,ALEE LLC,ALEE COMMERCIAL CLEANING SOLUTIONS,IFB,7500,CRR1011,12/09/2024,MA5000NA21000002711V00000966565
MA,5000,NA210000027,11,CITYWIDE CLEANING AND DISINFECTING SERVICES (COVID),,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,7250000,822083.84,505010.4,01/14/2021,01/13/2024,10,Competitive Acquisition,12/05/0020,33,Non-Professional Services,2,V00000970476,"GERMSWEEP, LLC",N/A,IFB,7500,CRR1011,12/09/2024,MA5000NA21000002711V00000970476
MA,5000,NA210000027,11,CITYWIDE CLEANING AND DISINFECTING SERVICES (COVID),,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,7250000,822083.84,505010.4,01/14/2021,01/13/2024,10,Competitive Acquisition,12/05/0020,33,Non-Professional Services,3,VS0000034071,S E PACKAGES INC,TRES MUJERES CONSTRUCTION,IFB,7500,CRR1011,12/09/2024,MA5000NA21000002711VS0000034071
MA,5000,NA220000114,2,GRAFFITI REMOVAL SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,920000,383898.93,185898.93,05/09/2022,05/08/2027,10,Competitive Acquisition,05/07/0022,18,Non-Professional Services,1,VS0000015683,"ALEON PROPERTIES, INC.",N/A,IFB,7500,SLW1066,12/09/2024,MA5000NA2200001142VS0000015683
MA,5000,NA230000095,1,CITYWIDE COURIER SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,692000,167290,64885,05/10/2023,05/09/2028,10,Competitive Acquisition,04/22/0023,13,Non-Professional Services,1,RAL8315790,RALPH RIOJAS,RALPH RIOJAS ENTERPRISES,IFB,7500,ALD1007,12/09/2024,MA5000NA2300000951RAL8315790
MA,5000,NA230000156,14,"5 GALLON, BOTTLED WATER, AND CUP DELIVERY SERVICE",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,259300,105970,41642.5,05/22/2023,05/21/2028,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000987113,SIMBA LIMITED LIABILITY CO,SIMBA LLC,IFB,5000,MLJ1012,12/09/2024,MA5000NA23000015614V00000987113
MA,5000,NA230000175,1,"COLLECTION, TRANSPORTATION, AND DISPOSAL OF HAZARDOUS WASTE",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,10040000,1614855.34,232198.78,06/09/2023,06/08/2028,10,Competitive Acquisition,06/10/0023,13,Non-Professional Services,1,CLE7163070,CLEAN HARBORS ENVIRONMENTAL SERVICES INC,N/A,IFB,5000,SLW1078,12/09/2024,MA5000NA2300001751CLE7163070
MA,5500,NA220000045,2,SMALL BUSINESS TRAINING,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,360000,360000,236368,01/28/2022,01/28/2025,10,Competitive Acquisition,01/29/0022,27,Non-Professional Services,1,V00000943017,"DISTANCE LEARNING MEDIA, LLC",JULIE NIEHOFF,RFP,5500,ALD3029,12/09/2024,MA5500NA2200000452V00000943017
MA,5500,NA220000076,3,COLONY PARK PERIMETER GROUNDS MAINTENANCE SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,274000,52000,24229,03/18/2022,03/17/2027,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,VS0000004060,"UNITY CONTRACTOR SERVICES, INC",N/A,RFP,5500,CRR3010,12/09/2024,MA5500NA2200000763VS0000004060
MA,5500,NA220000167,4,AUSTIN COMMUNITY-OWNED FOOD RETAIL INITIATIVE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,515000,515000,47060,09/02/2022,04/01/2025,55,Pers / Prof / Plan Svcs (252),09/03/0022,48,Sole and Single Source,1,V00000955558,GO AUSTIN/VAMOS AUSTIN,GAVA,RFP,5500,BYS3019,12/09/2024,MA5500NA2200001674V00000955558
MA,5500,NA230000042,1,FIREWORKS DISPLAY PROVIDER FOR AUSTIN NEW YEAR EVENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,63050,40050,19000,12/05/2022,12/04/2025,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000916463,PYRO SHOWS OF TEXAS INC,PYRO SHOWS OR ATLAS ENTERPRISES,RFP,5500,BJT3000,12/09/2024,MA5500NA2300000421V00000916463
MA,5500,PA230000010,2,CHAPTER 380 THIRD-PARTY REVIEWS,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,112000,112000,33911,01/27/2023,01/26/2024,10,Competitive Acquisition,01/28/0023,31,Professional Services,1,V00000940629,RSM US LLP,N/A,RFP,5500,JTH3026,12/09/2024,MA5500PA2300000102V00000940629
MA,5500,PA230000072,2,PROFESSIONAL SERVICES FOR DISTRICT DEVELOPMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1500000,429655,0,04/28/2023,04/27/2026,10,Competitive Acquisition,04/15/0023,10,Professional Services,1,EAR8307803,AECOM TECHNICAL SERVICES INC,N/A,RFQS,5500,CRR4308,12/09/2024,MA5500PA2300000722EAR8307803
MA,5500,PA230000072,2,PROFESSIONAL SERVICES FOR DISTRICT DEVELOPMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1500000,429655,0,04/28/2023,04/27/2026,10,Competitive Acquisition,04/15/0023,10,Professional Services,3,V00000919065,THE GOODMAN CORPORATION,N/A,RFQS,5500,CRR4308,12/09/2024,MA5500PA2300000722V00000919065
MA,5500,PA230000072,2,PROFESSIONAL SERVICES FOR DISTRICT DEVELOPMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1500000,429655,0,04/28/2023,04/27/2026,10,Competitive Acquisition,04/15/0023,10,Professional Services,2,V00000983061,"MEND COLLABORATIVE, INC",N/A,RFQS,5500,CRR4308,12/09/2024,MA5500PA2300000722V00000983061
MA,5800,NA210000194,2,SPIN CLASSES FOR HEALTHYCONNECTIONS WELLNESS PROGRAM,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,150000,31450,15450,01/01/2022,12/31/2026,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,YMC7046820,YOUNG MEN'S CHRISTIAN ASSOCIATION OF AUSTIN,YMCA OF AUSTIN,RFP,5800,BYS3012,12/09/2024,MA5800NA2100001942YMC7046820
MA,5800,NA220000169,1,ROCIP 8 ADMINISTRATOR AND INSURANCE SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,12812000,3117142,1527571,09/19/2022,09/18/2029,10,Competitive Acquisition,09/17/0022,19,Non-Professional Services,1,MAR8309722,MARSH USA INC,MARSH USA OR MARSH WORTHAM,RFP,5800,BYS3017,12/09/2024,MA5800NA2200001691MAR8309722
MA,5800,NA230000086,2,EMPLOYMENT & RECORD VERIFICATION,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,360000,30000,0,02/01/2023,01/31/2028,55,Pers / Prof / Plan Svcs (252),,ADMIN,Sole and Single Source,1,V00000985627,"EQUIFAX, INC",EQUIFAX WORKFORCE SOLUTIONS LLC,RFP,5800,BYS3020,12/09/2024,MA5800NA2300000862V00000985627
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,8,RAL8313700,RALPH ANDERSEN & ASSOCIATES,N/A,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491RAL8313700
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,4,V00000946475,LINCOLN LEADERSHIP ADVISORS LLC,N/A,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491V00000946475
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,9,V00000972781,"ZRG PARTNERS, LLC",N/A,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491V00000972781
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,5,V00000981790,MOSAIC PUBLIC PARTNERS LLC,N/A,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491V00000981790
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,7,VS0000005894,"RAFTELIS FINANCIAL CONSULTANTS, INC.",RAFTELIS,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491VS0000005894
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,1,VS0000020811,"22ND CENTURY TECHNOLOGIES, INC",N/A,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491VS0000020811
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,3,VS0000025979,GOVHR USA LLC,GOVHR USA,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491VS0000025979
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,6,VS0000028339,POLIHIRE STRATEGY LLC,POLIHIRE,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491VS0000028339
MA,5800,NA230000163,1,CAP AND FSA ADMINISTRATION,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,697000,0,0,01/01/2024,12/31/2025,10,Competitive Acquisition,06/10/0023,26,Non-Professional Services,1,V00000961612,TOTAL ADMINISTRATIVE SERVICE CORPORATION,TASC,RFP,5800,BYS3031,12/09/2024,MA5800NA2300001631V00000961612
MA,5800,NA230000166,1,"COBRA, SELF PAY AND CCDP ADMINISTRATION",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,200000,0,0,01/01/2024,12/31/2028,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000985709,"PAYFLEX SYSTEMS USA, INC",PAYFLEX,RFP,5800,BYS3028,12/09/2024,MA5800NA2300001661V00000985709
MA,5800,NA230000205,1,DRUG & ALCOHOL TESTING SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,288000,60000,0,08/01/2023,08/01/2028,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000973418,"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, P.A.",CONCENTRA MEDICAL CENTERS,RFP,5800,JRH3020,12/09/2024,MA5800NA2300002051V00000973418
MA,5800,NA230000215,1,MEDICARE ADVANTAGE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,9000000,0,0,01/01/2024,12/31/2024,10,Competitive Acquisition,08/18/0023,13,Non-Professional Services,1,HEA8304244,HEALTH CARE SERVICE CORPORATION,BLUE CROSS BLUE SHIELD OF TEXAS,RFP,5800,SMW3020,12/09/2024,MA5800NA2300002151HEA8304244
MA,5800,NA230000219,1,COMMERCIAL CRIME INSURANCE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,450000,67197,67197,09/18/2023,10/20/2026,10,Competitive Acquisition,09/16/0023,44,Non-Professional Services,1,V00000926664,ALLIANT INSURANCE SERVICES INC.,ALLIANT INSURANCE SERVICES,RFP,5800,BYS3029,12/09/2024,MA5800NA2300002191V00000926664
MA,5800,NA230000246,1,PROPERTY INSURANCE,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,42583179,7681956,7681956,10/01/2023,09/30/2026,10,Competitive Acquisition,09/23/0023,29,Non-Professional Services,1,V00000926664,ALLIANT INSURANCE SERVICES INC.,ALLIANT INSURANCE SERVICES,RFP,5800,BJT3009,12/09/2024,MA5800NA2300002461V00000926664
MA,5900,NA220000123,2,RADIO BROADCASTING SERVICES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,600000,140000,71791,07/29/2022,07/28/2027,10,Competitive Acquisition,06/11/0022,27,Non-Professional Services,1,KAZ2679250,AUSTIN COMMUNITY RADIO,KAZI FM 88.7,IFB,5900,BYS1016,12/09/2024,MA5900NA2200001232KAZ2679250
MA,6000,NA230000144,1,HORNSBY BEND TREE MANAGEMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,546000,110000,32800,05/18/2023,05/17/2028,10,Competitive Acquisition,05/20/0023,10,Non-Professional Services,1,V00000950026,J ARBOR CONTRACTING LLC,N/A,IFB,6000,BYS1017,12/09/2024,MA6000NA2300001441V00000950026
MA,6100,23052600026,1,ELECTRIFICATION INFRASTRUCTURE PHASE 4 IDIQ,,Capital Contracting Office,unknown,unknown,1000000,290383.23,0,05/26/2023,05/26/2024,10,Competitive Acquisition,05/20/0023,20,Construction,1,WES5125100,WESTON SOLUTIONS INC,"WESTON SOLUTIONS, INC.",IFB,6100,CLMC943,12/09/2024,MA6100230526000261WES5125100
MA,6100,23092200041,1,LCL MBLTY ADA SIDWLK AND RAMP IMPMNTS GRP 31 CITY WIDE-IDIQ,,Capital Contracting Office,unknown,unknown,1500000,0,0,09/21/2023,03/25/2025,10,Competitive Acquisition,09/16/0023,48,Construction,1,VS0000017696,AUSTIN CONSTRUCTORS LLC,N/A,IFB,6100,CLMC982,12/09/2024,MA6100230922000411VS0000017696
MA,6100,CA200000004,4,"ASPHALT PARKING LOT/ROADS CONSTRUCTION, REHAB & REPAIR IDIQ",,Capital Contracting Office,unknown,unknown,6000000,3814454.11,3555505.98,03/10/2023,03/09/2024,10,Competitive Acquisition,02/22/0020,6,Construction,1,V00000900503,ALPHA PAVING INDUSTRIES LLC,N/A,IFB,6100,CLMC766,12/09/2024,MA6100CA2000000044V00000900503
MA,6100,CA200000016,10,MISCELLANEOUS STREETS MAINTENANCE OVERLAY IDIQ PROJECT,,Capital Contracting Office,unknown,unknown,24000000,14626374.77,11290615.91,07/02/2020,07/02/2024,10,Competitive Acquisition,06/13/0020,47,Construction,1,V00000907126,AUSTIN MATERIALS LLC,RAMMING PAVING COMPANY,IFB,6100,CLMC776,12/09/2024,MA6100CA20000001610V00000907126
MA,6100,CA200000016,10,MISCELLANEOUS STREETS MAINTENANCE OVERLAY IDIQ PROJECT,,Capital Contracting Office,unknown,unknown,24000000,14626374.77,11290615.91,07/02/2020,07/02/2024,10,Competitive Acquisition,06/13/0020,47,Construction,2,V00000929983,ASPHALT INC LLC,LONE STAR PAVING OR LONE STAR PAVING COMPANY,IFB,6100,CLMC776,12/09/2024,MA6100CA20000001610V00000929983
MA,6100,CA200000019,4,IDIQ STORMWATER INFRASTRUCTURE MAINT. - OPEN SYSTEMS (2020),,Capital Contracting Office,unknown,unknown,12000000,4800740.9,4505377.93,08/12/2020,08/11/2024,10,Competitive Acquisition,07/31/0020,10,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC799,12/09/2024,MA6100CA2000000194SAN8316404
MA,6100,CA200000021,7,2020 JOB ORDER CONTRACTING FOR CITY FACILITY IMPROVEMENTS,,Capital Contracting Office,unknown,unknown,48000000,16178004.8,9830471.76,01/05/2021,01/04/2024,15,Alt Proc Method (252),,4,Other Contracting,8,HEN6049645,HENSEL PHELPS CONSTRUCTION CO,N/A,CSP,6100,CLMB333,12/09/2024,MA6100CA2000000217HEN6049645
